,path,file,prerequisite
0,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Calumny\Ripened Bitter Fruit.md,Ripened Bitter Fruit,Swallowtail’s Grace
1,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Calumny\Salon-Spider Entrapment.md,Salon-Spider Entrapment, Rustling Grapevine Whispers
2,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Calumny\Swallowtail’s Grace.md,Swallowtail’s Grace, Rustling Grapevine Whispers
3,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Calumny\Unassuming Ornament Camouflage.md,Unassuming Ornament Camouflage, Naked Thief Style
4,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Daring Venture\Beckon the Wandering Wolf.md,Beckon the Wandering Wolf, Seeker’s Heart Intuition
5,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Daring Venture\Packmate Devotion.md,Packmate Devotion, Wolf-and-Dragon Bond
6,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Daring Venture\Seeker’s Heart Intuition.md,Seeker’s Heart Intuition, Song of Sunlit Dreams
7,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Daring Venture\Wolf-and-Dragon Bond.md,Wolf-and-Dragon Bond,Mother-of-Beasts Mastery
8,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Faith's Pillar\Dragons Provide.md,Dragons Provide, Faith Maintains
9,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Faith's Pillar\Foundations of Sand.md,Foundations of Sand,Dragons Provide
10,C:/Users/fw314/ObsidianVaults/exalted-scripture-understanding/Items\Artifacts & Evocations\Heirlooms of Power\Faith's Pillar\Iniquity’s Reward.md,Iniquity’s Reward, Faith Maintains
