,path,file,prerequisite
0,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Crafting\Superior Project.md,Superior Project,Artifact|Artifacts
1,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Crafting\Superior Project.md,Superior Project,Daiklave
2,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Crafting\Superior Project.md,Superior Project,#Slot
3,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Crafting\Superior Project.md,Superior Project,Major Project#Slot
4,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Crafting\Superior Project.md,Superior Project,artifact
5,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Crafting\Superior Project.md,Superior Project,Crafting Projects#Crafting Experience|gold points
6,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Crafting\Superior Project.md,Superior Project,Crafting Projects#Crafting Experience\|wxp
7,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Environment\Feats of Strength.md,Feats of Strength,#chart
8,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Environment\Feats of Strength.md,Feats of Strength,#Chart
9,D:/Games Notes/Exalted Scripture Understanding\Rules Reference\Environment\Feats of Strength.md,Feats of Strength,Stunt|stunts
10,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Arbor Sentinel Technique.md,Arbor Sentinel Technique,Life-Swelling Sap Strike
11,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Arrow Rain Tempest.md,Arrow Rain Tempest,Swallows Defend the Nest
12,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Arrow Thorn Technique.md,Arrow Thorn Technique,Harvest of the Hunter
13,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Boughs of Burning Autumn.md,Boughs of Burning Autumn,Harvest of the Hunter
14,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Death From Nowhere.md,Death From Nowhere,Sky-Calming Draw
15,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Dragonfly Finds Mate.md,Dragonfly Finds Mate,Spring Follows Winter
16,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Drawing Lightning Style.md,Drawing Lightning Style,Death From Nowhere
17,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Life-Swelling Sap Strike.md,Life-Swelling Sap Strike,Harvest of the Hunter
18,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Salamander Swallows Flames.md,Salamander Swallows Flames,Boughs of Burning Autumn
19,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Seven-Year Swarm Volley.md,Seven-Year Swarm Volley,Dragonfly Finds Mate
20,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Sparrow Dives at Hawk.md,Sparrow Dives at Hawk,Dragonfly Finds Mate
21,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Spring Follows Winter.md,Spring Follows Winter,Death From Nowhere
22,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Archery\Swallows Defend the Nest.md,Swallows Defend the Nest,Sparrow Dives at Hawk
23,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Dancing Ember Stride.md,Dancing Ember Stride,Incense Smoke Ladder
24,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Falling Star Maneuver.md,Falling Star Maneuver,Dancing Ember Stride
25,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Grandmother Oak Exertion.md,Grandmother Oak Exertion,Strength of Stone Technique
26,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Incense Smoke Ladder.md,Incense Smoke Ladder,Bellows-Pumping Stride
27,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Inescapable Blazing Advance.md,Inescapable Blazing Advance,Bellows-Pumping Stride
28,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Mountain-Toppling Might.md,Mountain-Toppling Might,Strength of Stone Technique
29,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Seething Dragon Footprint.md,Seething Dragon Footprint,Dancing Ember Stride
30,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Soaring Zephyr Flight.md,Soaring Zephyr Flight,Incense Smoke Ladder
31,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Unshakable Mountain Spine.md,Unshakable Mountain Spine,Mountain-Toppling Might
32,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Athletics\Verdant Dragon’s Footsteps.md,Verdant Dragon’s Footsteps,Bellows-Pumping Stride
33,D:/Games Notes/Exalted Scripture Understanding\Charms\Dragon-Blooded\Awareness\All-Encompassing Earth Sense.md,All-Encompassing Earth Sense,Deep-Listening Palm
